time,angvelx,angvely,angvelz
1.45924544334412,0.06630382,-0.174829,-0.05868238
1.46950316429138,0.06558369,-0.176743,-0.05855804
1.47963523864746,0.06516924,-0.1748781,-0.05778995
1.48939394950867,0.0682487,-0.1747192,-0.05707354
1.49948811531067,0.07061499,-0.1706195,-0.05684376
1.50928068161011,0.08023288,-0.159898,-0.05646206
1.51947951316833,0.08178981,-0.1434795,-0.05464715
1.52965545654297,0.08226629,-0.140328,-0.0532511
1.5397572517395,0.08656027,-0.1521752,-0.05341372
1.54938054084778,0.08824769,-0.1538329,-0.05274412
1.55945730209351,0.09046156,-0.1554109,-0.05127738
1.56931042671204,0.09079141,-0.1493252,-0.05008174
1.57947731018066,0.09149256,-0.1584093,-0.05003403
1.59019017219543,0.1031636,-0.1817025,-0.05124254
1.59926867485046,0.1148794,-0.1890625,-0.05167821
1.60994744300842,0.1173362,-0.1822098,-0.04974446
1.61953401565552,0.1197971,-0.1808864,-0.04849719
1.62923312187195,0.1223679,-0.1796013,-0.04827479
1.63944482803345,0.1235151,-0.1677246,-0.04611177
1.64974117279053,0.1287764,-0.1520476,-0.04580945
1.6592812538147,0.1441826,-0.1309808,-0.04372697
1.66990923881531,0.1472707,-0.1240163,-0.04313124
1.68004989624023,0.153982,-0.1252205,-0.04333064
1.68935346603394,0.1579772,-0.1279902,-0.04275814
1.69981050491333,0.1575047,-0.1158073,-0.04301801
1.70950794219971,0.1676721,-0.1022792,-0.04325125
1.71963953971863,0.1725179,-0.09411278,-0.04347936
1.72976970672607,0.1772152,-0.08985266,-0.04435023
1.73944640159607,0.1806071,-0.08411989,-0.04435354
1.75018048286438,0.181385,-0.07459044,-0.04369593
1.75983166694641,0.1735918,-0.06149846,-0.04144665
1.76940894126892,0.1646844,-0.0529398,-0.04183275
1.77960753440857,0.1645535,-0.05930436,-0.0430415
1.78962206840515,0.1634736,-0.07914901,-0.04392302
1.79930710792542,0.160235,-0.07331592,-0.04308774
1.80940318107605,0.1509597,-0.07549446,-0.04146371
1.81960678100586,0.1413949,-0.07475296,-0.04047259
1.82927465438843,0.1308015,-0.07663436,-0.03910024
1.83940052986145,0.1208885,-0.08199272,-0.03727973
1.84964489936829,0.1111871,-0.08233111,-0.03628285
1.85962653160095,0.1091259,-0.09479246,-0.03470815
1.86928677558899,0.1079943,-0.08569507,-0.03464422
1.88003730773926,0.1032686,-0.09451078,-0.03523881
1.88922667503357,0.09955499,-0.09780451,-0.03518598
1.89994049072266,0.09504722,-0.104253,-0.03430812
1.9100067615509,0.08811963,-0.08900098,-0.03293576
1.91929244995117,0.09551252,-0.09963059,-0.03382124
1.92945289611816,0.1022726,-0.1030518,-0.03482328
1.93952918052673,0.1068119,-0.1128705,-0.03557951
1.94922804832458,0.1068976,-0.1206689,-0.03596101
1.95938467979431,0.1149391,-0.1085904,-0.0361676
1.96954989433289,0.1172354,-0.09442887,-0.0357163
1.97980904579163,0.1219157,-0.08561377,-0.03530339
1.98928904533386,0.1304533,-0.0745443,-0.03498583
1.99998569488525,0.1310113,-0.07100359,-0.03442304
2.00955390930176,0.1296897,-0.05520269,-0.03292369
2.01973557472229,0.1253093,-0.0406241,-0.03145389
2.02932071685791,0.1241994,-0.0342322,-0.03019368
2.03956627845764,0.122682,-0.02837886,-0.02876309
2.04924130439758,0.1185101,-0.02697826,-0.0279514
2.0593421459198,0.1177144,-0.01346755,-0.02721414
2.06959056854248,0.1142446,-0.01749957,-0.0260226
2.07972168922424,0.1116011,-0.01069662,-0.02488934
2.08922553062439,0.1167733,0.003356874,-0.02448501
2.09938383102417,0.1109329,0.01051657,-0.02337998
2.11002349853516,0.1058869,0.008381344,-0.02228503
2.11967349052429,0.100446,0.008322042,-0.02136744
2.12927508354187,0.08594751,0.01562791,-0.01842297
2.13937377929688,0.07686301,0.01813448,-0.01752634
