time,angvelx,angvely,angvelz
0,0,0,0
0.00992774963378906,0,0,0
0.0205843448638916,0,0,0
0.0302796363830566,0,0,0
0.0400986671447754,0,0,0
0.0502145290374756,0,0,0
0.0604991912841797,0,0,0
0.0700902938842773,0,0,0
0.080794095993042,0,0,0
0.090116024017334,0,0,0
0.100300788879395,0,0,0
0.110130310058594,0,0,0
0.120199918746948,0,0,0
0.130032777786255,0,0,0
0.14007830619812,0,0,0
0.150365114212036,0,0,0
0.160596132278442,0,0,0
0.170307397842407,0,0,0
0.180396795272827,0,0,0
0.1902916431427,0,0,0
0.200618505477905,0,0,0
0.210579395294189,0,0,0
0.220158815383911,0,0,0
0.230758428573608,0,0,0
0.240023136138916,0,0,0
0.2501220703125,0,0,0
0.260827541351318,0,0,0
0.270270824432373,0,0,0
0.280937194824219,0,0,0
0.290510892868042,0,0,0
0.30014443397522,0,0,0
0.310395956039429,0,0,0
0.320399284362793,0,0,0
0.329990386962891,0,0,0
0.340091943740845,0,0,0
0.350733757019043,0,0,0
0.360309839248657,0,0,0
0.370537996292114,0,0,0
0.380065679550171,0,0,0
0.390279769897461,0,0,0
0.400144577026367,0,0,0
0.410297632217407,0,0,0
0.420439481735229,0,0,0
0.430002927780151,0,0,0
0.440130472183228,0,0,0
0.450506210327148,0,0,0
0.459935903549194,0,0,0
0.47053337097168,0,0,0
0.480629682540894,0,0,0
0.490422010421753,0,0,0
0.500062704086304,0,0,0
0.51026177406311,0,0,0
0.520862579345703,0,0,0
0.530060529708862,0,0,0
0.540199756622314,0,0,0
0.550318479537964,0,0,0
0.560044527053833,0,0,0
0.570626258850098,0,0,0
0.580464601516724,0,0,0
0.590139865875244,0,0,0
0.60010290145874,0,0,0
0.610289096832275,0,0,0
0.620206117630005,0,0,0
0.630066871643066,0,0,0
0.640071153640747,0,0,0
0.650204420089722,0,0,0
0.66039776802063,0,0,0
0.670101881027222,0,0,0
0.680038690567017,0,0,0
0.690156221389771,0,0,0
0.700315237045288,0,0,0
0.710025548934937,0,0,0
0.720067024230957,0,0,0
0.730226039886475,0,0,0
0.740852117538452,0,0,0
0.749994993209839,0,0,0
0.760257244110107,0,0,0
0.770660161972046,0,0,0
0.780741691589355,0,0,0
0.790326595306396,0,0,0
0.800523996353149,0,0,0
0.810112714767456,0,0,0
0.819929361343384,0,0,0
0.830007314682007,0,0,0
0.840096950531006,0,0,0
0.850233793258667,0,0,0
0.860770463943481,0,0,0
0.870087862014771,0,0,0
0.880746126174927,0,0,0
0.89004373550415,0,0,0
0.90000057220459,0,0,0
0.910669326782227,0,0,0
0.920270442962646,0,0,0
0.930327177047729,0,0,0
0.939979553222656,0,0,0
0.950159072875977,0,0,0
0.960841417312622,0,0,0
0.97129487991333,0,0,0
