time,rollrate,pitchrate,yawrate,accx,accy,accz,thrust1,thrust2,thrust3,thrust4
0,-0.00213623046875,-0.001068115234375,-0.003204345703125,-0.208740234375,0.02197265625,9.90966796875,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.0105938911437988,-0.001068115234375,0,-0.003204345703125,-0.20050048828125,0.025634765625,9.89959716796875,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.02109694480896,0,-0.00213623046875,-0.0042724609375,-0.2032470703125,0.02655029296875,9.90692138671875,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.0308845043182373,-0.001068115234375,-0.001068115234375,-0.003204345703125,-0.21881103515625,0.03387451171875,9.9298095703125,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.0398623943328857,0,0.001068115234375,-0.00213623046875,-0.21240234375,0.0347900390625,9.9298095703125,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.0504946708679199,0,0.001068115234375,-0.00213623046875,-0.2069091796875,0.02838134765625,9.91790771484375,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.059941291809082,0,0.001068115234375,-0.00213623046875,-0.20782470703125,0.02105712890625,9.91058349609375,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.0699946880340576,0,0,-0.00213623046875,-0.20416259765625,0.02105712890625,9.90509033203125,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.0813963413238525,-0.001068115234375,0.001068115234375,-0.003204345703125,-0.1995849609375,0.0164794921875,9.91424560546875,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.0911204814910889,-0.001068115234375,0.00213623046875,-0.00213623046875,-0.20965576171875,0.0128173828125,9.89959716796875,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.0999925136566162,-0.001068115234375,0.001068115234375,-0.00213623046875,-0.21331787109375,0.01556396484375,9.90234375,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.109891891479492,-0.00213623046875,-0.001068115234375,-0.00213623046875,-0.205078125,0.02197265625,9.9298095703125,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.12057089805603,-0.00213623046875,0,-0.003204345703125,-0.20599365234375,0.0238037109375,9.9298095703125,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.131136178970337,-0.001068115234375,-0.001068115234375,-0.003204345703125,-0.2105712890625,0.02838134765625,9.927978515625,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.141089677810669,-0.001068115234375,0,-0.003204345703125,-0.21240234375,0.03204345703125,9.949951171875,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.150947093963623,-0.001068115234375,-0.001068115234375,-0.003204345703125,-0.208740234375,0.02838134765625,9.913330078125,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.162007570266724,-0.001068115234375,0.001068115234375,-0.003204345703125,-0.2142333984375,0.02471923828125,9.8858642578125,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.169876337051392,-0.00213623046875,0,-0.00213623046875,-0.20965576171875,0.02197265625,9.9188232421875,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.18099570274353,-0.00213623046875,0.001068115234375,-0.00213623046875,-0.2032470703125,0.029296875,9.9114990234375,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.190232038497925,-0.00213623046875,0.001068115234375,-0.00213623046875,-0.21697998046875,0.02838134765625,9.90325927734375,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.199851036071777,0,0,-0.003204345703125,-0.22979736328125,0.02197265625,9.92523193359375,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.210271596908569,0,0,-0.00213623046875,-0.22064208984375,0.02471923828125,9.92431640625,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.219895362854004,-0.00213623046875,0.001068115234375,-0.003204345703125,-0.208740234375,0.029296875,9.927978515625,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
0.230930328369141,-0.00213623046875,0.001068115234375,-0.003204345703125,-0.205078125,0.03204345703125,9.9407958984375,0.000152587890625,0.000152587890625,0.000152587890625,0.000152587890625
