time,posx,posy,posz,attyaw,attpitch,attroll
0,0.0407785177230835,0.0774250626564026,0.0703728795051575,5.70820554308978,-0.515925478995725,0.554324892389736
0.00257635116577148,0.0407867021858692,0.0774403288960457,0.0704044103622437,5.69844190012693,-0.513442831825539,0.555122174825011
0.0067901611328125,0.0408069305121899,0.0774394869804382,0.0703341513872147,5.69657199226393,-0.512181616305387,0.560943774357438
0.0109653472900391,0.040824867784977,0.0774421319365501,0.0702796205878258,5.69951943174645,-0.521834195408957,0.559819313940266
0.027944803237915,0.0408008061349392,0.0774751678109169,0.070289321243763,5.70093026488373,-0.514078758490228,0.563267397747344
0.0280163288116455,0.0407764054834843,0.0774963796138763,0.0702317878603935,5.70643390767723,-0.518681464273042,0.547840642830644
0.0322880744934082,0.0407770685851574,0.0774529799818993,0.0702074989676476,5.70738455018485,-0.505972031918806,0.553003809133503
0.0359008312225342,0.0407745912671089,0.0774281620979309,0.0702204629778862,5.69623103855276,-0.50210890610618,0.564246991416459
0.0400841236114502,0.0408027805387974,0.0774367898702621,0.0702536255121231,5.70243336591395,-0.506397593221904,0.565637581556405
0.0449702739715576,0.0408100076019764,0.0774335712194443,0.0703678354620934,5.6931182400654,-0.506683610455586,0.565168514101311
0.0484597682952881,0.0407937094569206,0.0774533227086067,0.0704283118247986,5.69845965781652,-0.517065230884517,0.558276204987839
0.0583906173706055,0.0407905727624893,0.0774601921439171,0.0704096555709839,5.70124424744478,-0.531244830032417,0.555363525644131
0.0666985511779785,0.0408337116241455,0.0774296969175339,0.0702147409319878,5.70472443835054,-0.515918191899761,0.549470177369685
0.0693118572235107,0.0407545156776905,0.0774736478924751,0.0702405348420143,5.69923397336471,-0.503239168307837,0.557084597109428
0.0768275260925293,0.0407534688711166,0.0774969682097435,0.0702940002083778,5.70149552856148,-0.497958103337379,0.56043365979212
0.077631950378418,0.0407638624310493,0.0775072947144508,0.0702946186065674,5.69680400685235,-0.506292758265331,0.559714598677111
0.0818867683410645,0.0407701320946217,0.0774820521473885,0.0702773034572601,5.69886891934296,-0.509254069276719,0.563837809197726
0.0859429836273193,0.0407943204045296,0.0774454325437546,0.0702585652470589,5.69902457828212,-0.508490045945786,0.562563357721438
0.0900490283966064,0.0408193580806255,0.0774535611271858,0.0702414065599442,5.70254259085806,-0.501142949056582,0.555955572018525
0.0943763256072998,0.0407817997038364,0.0774562433362007,0.0702966153621674,5.7012779616081,-0.510795140095581,0.555480562666166
0.0984683036804199,0.0407606698572636,0.0774538666009903,0.0703339427709579,5.71146969315015,-0.536145471675479,0.555342983926669
0.102702379226685,0.0408171415328979,0.0774402692914009,0.0703086256980896,5.70330317879175,-0.528332880788906,0.542628235594428
0.108544588088989,0.0408050902187824,0.0774118602275848,0.0703363493084908,5.68863163978924,-0.498690338192173,0.568678864904994
0.111048221588135,0.0407846570014954,0.0774188339710236,0.0703475400805473,5.68635940571759,-0.493178955877598,0.575640459195108
0.115255832672119,0.0407810136675835,0.0774673223495483,0.0703343078494072,5.69501114810369,-0.520644073779996,0.573218816657733
0.119579315185547,0.0407817922532558,0.0774872824549675,0.0703080371022224,5.70246791466788,-0.517128370179706,0.565119700778516
0.123719930648804,0.0407802723348141,0.0774847641587257,0.0702399611473083,5.70621422023043,-0.515678368133472,0.551188311300752
0.130075693130493,0.040778249502182,0.0774326249957085,0.0701872184872627,5.7029229349006,-0.504848285952655,0.567659490164892
0.131822347640991,0.0408008545637131,0.0774165764451027,0.070174939930439,5.7102967848738,-0.515605899283377,0.556086597607488
0.136101722717285,0.0408066622912884,0.0774357914924622,0.0702280029654503,5.70510479567301,-0.510075048078889,0.549913162411605
0.140341520309448,0.0407755523920059,0.0774924755096436,0.0702990964055061,5.70090187766286,-0.520756398124662,0.547150981671552
0.144371747970581,0.0407623872160912,0.0775200426578522,0.0703737139701843,5.68902456506623,-0.511072557213832,0.56602777558558
0.14861273765564,0.0407952442765236,0.0775063931941986,0.0703498423099518,5.69257533605221,-0.517162975023739,0.562343528123415
0.152619123458862,0.0408141985535622,0.0774576887488365,0.0702986791729927,5.70071420529815,-0.509671085877788,0.561712460194891
0.156809568405151,0.040820550173521,0.0774204805493355,0.0702760219573975,5.69954836337923,-0.503887801124858,0.557843796934387
0.161135196685791,0.0407973416149616,0.0774280950427055,0.0702935606241226,5.70392197958478,-0.506185007109696,0.558134290062023
0.165369272232056,0.0407543741166592,0.0774548649787903,0.0703034549951553,5.71262766853527,-0.533439115425329,0.562892158226298
0.16949725151062,0.0407428294420242,0.0774976685643196,0.0702592730522156,5.70669319736763,-0.51083716345167,0.557884084325694
0.173721313476562,0.0407557114958763,0.0775041207671165,0.0702276974916458,5.70400933812506,-0.503452609576874,0.554265600169591
0.177942752838135,0.0407809354364872,0.0774844512343407,0.070214718580246,5.69698298362445,-0.503615930596834,0.567095485089219
0.181907415390015,0.0408017635345459,0.0774916335940361,0.0702375173568726,5.70783349525171,-0.515393169786626,0.56278417073073
0.186086893081665,0.0407974123954773,0.0775094255805016,0.0702593848109245,5.70709107411603,-0.519571374131757,0.55595340017638
